typo_nationale,IBMR_ref,Groupe
G1,12.94,4
G10,9.38,5
G10/4,11.17,1
G11/3-21,9.38,5
G12,13.09,2
G14/1,9.38,5
G14/3,9.38,5
G15/5,11.17,1
G16,13.09,2
G17/3-21,9.38,5
G18/4,11.17,1
G21,13.09,2
G3,9.38,5
G3/19-8,9.38,5
G5,11.17,1
G6,11.17,1
G9,9.38,5
G9/10,9.38,5
G9-10/21,9.38,5
GM14,11.17,1
GM19/8,12.94,4
GM20,11.17,1
GM20/9,11.17,1
GM22,11.17,1
GM5/2,11.17,1
GM6/1,11.17,1
GM6/2-7,11.17,1
GM6/8,11.17,1
GM7/2,11.17,1
GM8,13.09,2
GMP7,11.17,1
M1,12.94,4
M10,9.38,5
M10/4,11.17,1
M11/3-21,11.17,1
M12-A,13.09,2
M12-B,13.09,2
M13,13.09,2
M14/1,12.94,4
M14/3-11,11.17,1
M14/3-8,12.94,4
M15-17/3-21,11.17,1
M16-A,13.17,7
M16-B,13.17,7
M17,11.17,1
M18/4,11.17,1
M21,13.17,7
M3,13.17,7
M3/19,12.94,4
M3/8,13.17,7
M4,14.61,3
M5,12.94,4
M8-A,13.17,7
M9,9.38,5
M9/10,9.38,5
M9-10/21,9.38,5
M9-A,11.17,1
MP15,11.17,1
MP15/5,11.17,1
MP18,11.17,1
MP6,11.17,1
P1,12.94,4
P10,11.17,1
P11,12.94,4
P11/3-21,11.17,1
P12-A,13.09,2
P12-B,13.09,2
P13,13.09,2
P14,11.17,1
P14/1,11.17,1
P17,11.17,1
P17/3-21,11.17,1
P18/4,14.61,3
P19,12.94,4
P20,13.09,2
P21,13.17,7
P22,13.09,2
P3,14.00,6
P4,14.61,3
P5,12.94,4
P9,11.17,1
P9-A,11.17,1
PTP16-A,13.17,7
PTP16-B,13.17,7
PTP8,14.00,6
PTP8-A,14.61,3
TG10-15/4,9.38,5
TG11/3-21,9.38,5
TG14/1,9.38,5
TG14/3-11,9.38,5
TG15,9.38,5
TG17/3-21,9.38,5
TG22/10,9.38,5
TG5/2,9.38,5
TG6/1-8,9.38,5
TG6-7/2,9.38,5
TG9,9.38,5
TG9/21,9.38,5
TP1,12.94,4
TP10,11.17,1
TP11,11.17,1
TP12-A,13.09,2
TP12-B,13.09,2
TP13,13.09,2
TP14,11.17,1
TP15,12.94,4
TP17,11.17,1
TP17/3-21,14.00,6
TP18,11.17,1
TP20,13.09,2
TP21,14.61,3
TP22,14.61,3
TP3,14.00,6
TP4,14.61,3
TP5,12.94,4
TP6,11.17,1
TP7,11.17,1
TP9,11.17,1
TTGA,9.00,8
TTGL,9.00,8
